cpu_request_m,cpu_limit_m,mem_request_mi,mem_limit_mi,priority,node_cpu_pressure_pct,node_mem_pressure_pct,pod_cpu_usage_pct,pod_mem_usage_mi,risk,label_source,risk_intended
500,500,256,256,10,35.13,25.49,83.33,215.62,high,heuristic,low
500,500,256,256,10,35.13,25.49,83.35,216.03,high,heuristic,low
250,500,256,256,0,32.48,25.23,83.27,196.52,medium,heuristic,medium
250,500,256,256,0,32.48,25.23,83.33,49.71,low,heuristic,medium
100,150,128,256,-10,32.48,25.23,60.02,21.38,low,heuristic,high
250,500,256,256,0,32.48,25.23,0.0,2.27,low,heuristic,medium
500,500,256,256,10,41.32,28.4,83.35,215.87,high,heuristic,low
500,500,256,256,10,41.32,28.4,83.27,215.73,high,heuristic,low
250,500,256,256,0,41.32,28.4,83.33,38.19,low,heuristic,medium
500,500,256,256,10,41.32,28.4,83.3,160.39,low,heuristic,low
100,150,128,256,-10,38.61,22.01,59.99,144.97,low,heuristic,high
500,500,256,256,10,38.61,22.01,83.33,142.0,low,heuristic,low
500,500,256,256,10,38.61,22.01,83.3,170.05,medium,heuristic,low
500,500,256,256,10,38.61,22.01,83.32,185.89,medium,heuristic,low
500,500,256,256,10,38.71,29.94,83.42,215.68,high,heuristic,low
500,500,256,256,10,38.71,29.94,83.37,215.63,high,heuristic,low
250,500,256,256,0,38.71,29.94,83.35,144.43,low,heuristic,medium
250,500,256,256,0,38.71,29.94,83.31,241.31,high,heuristic,medium
250,500,256,256,0,43.71,28.74,83.3,108.14,low,heuristic,medium
500,500,256,256,10,43.71,28.74,83.34,215.73,high,heuristic,low
500,500,256,256,10,43.71,28.74,83.34,215.68,high,heuristic,low
250,500,256,256,0,43.71,28.74,83.31,96.38,low,heuristic,medium
250,500,256,256,0,44.39,28.45,83.22,187.88,medium,heuristic,medium
250,500,256,256,0,44.39,28.45,83.24,21.89,low,heuristic,medium
500,500,256,256,10,44.39,28.45,83.33,216.4,high,heuristic,low
250,500,256,256,0,44.39,28.45,83.07,42.4,low,heuristic,medium
500,500,256,256,10,36.21,26.51,83.3,241.16,high,heuristic,low
500,500,256,256,10,36.21,26.51,83.34,240.65,high,heuristic,low
100,150,128,256,-10,36.21,26.51,59.99,180.95,medium,heuristic,high
100,150,128,256,-10,36.21,26.51,59.98,213.92,high,heuristic,high
250,500,256,256,0,36.34,25.52,83.04,101.19,low,heuristic,medium
500,500,256,256,10,36.34,25.52,83.25,215.78,high,heuristic,low
100,150,128,256,-10,36.34,25.52,60.04,115.06,low,heuristic,high
100,150,128,256,-10,36.34,25.52,59.99,256.04,high,heuristic,high
500,500,256,256,10,36.08,27.18,83.36,215.7,high,heuristic,low
500,500,256,256,10,36.08,27.18,83.34,215.63,high,heuristic,low
100,150,128,256,-10,36.08,27.18,59.99,213.89,high,heuristic,high
100,150,128,256,-10,36.08,27.18,60.04,74.91,low,heuristic,high
100,150,128,256,-10,38.57,29.59,59.99,106.36,low,heuristic,high
500,500,256,256,10,38.57,29.59,83.31,215.63,high,heuristic,low
250,500,256,256,0,38.57,29.59,83.27,193.16,medium,heuristic,medium
500,500,256,256,10,38.57,29.59,83.34,215.63,high,heuristic,low
500,500,256,256,10,32.39,27.65,83.33,216.06,high,heuristic,low
100,150,128,256,-10,32.39,27.65,60.01,239.91,high,heuristic,high
100,150,128,256,-10,32.39,27.65,60.0,199.82,medium,heuristic,high
250,500,256,256,0,32.39,27.65,0.0,2.24,low,heuristic,medium
100,150,128,256,-10,36.08,28.37,60.02,125.49,low,heuristic,high
250,500,256,256,0,36.08,28.37,83.16,180.39,medium,heuristic,medium
100,150,128,256,-10,36.08,28.37,60.01,255.98,high,heuristic,high
100,150,128,256,-10,36.08,28.37,60.05,225.06,high,heuristic,high
250,500,256,256,0,35.95,24.94,83.28,76.95,low,heuristic,medium
100,150,128,256,-10,35.95,24.94,60.03,256.04,high,heuristic,high
100,150,128,256,-10,35.95,24.94,59.99,63.85,low,heuristic,high
500,500,256,256,10,35.95,24.94,83.31,240.73,high,heuristic,low
250,500,256,256,0,37.41,29.43,83.38,103.26,low,heuristic,medium
250,500,256,256,0,37.41,29.43,83.27,223.2,high,heuristic,medium
250,500,256,256,0,37.41,29.43,0.0,2.25,low,heuristic,medium
500,500,256,256,10,37.41,29.43,83.33,211.59,high,heuristic,low
500,500,256,256,10,38.51,28.66,83.4,215.71,high,heuristic,low
500,500,256,256,10,38.51,28.66,83.33,34.04,low,heuristic,low
250,500,256,256,0,38.51,28.66,83.33,74.44,low,heuristic,medium
100,150,128,256,-10,38.51,28.66,59.98,165.34,low,heuristic,high
100,150,128,256,-10,33.47,28.06,59.98,162.64,low,heuristic,high
500,500,256,256,10,33.47,28.06,83.35,216.05,high,heuristic,low
100,150,128,256,-10,33.47,28.06,59.97,129.14,low,heuristic,high
250,500,256,256,0,33.47,28.06,83.09,74.71,low,heuristic,medium
500,500,256,256,10,35.96,28.38,83.3,240.67,high,heuristic,low
100,150,128,256,-10,35.96,28.38,60.0,28.64,low,heuristic,high
250,500,256,256,0,35.96,28.38,83.36,201.79,medium,heuristic,medium
250,500,256,256,0,35.96,28.38,83.35,48.72,low,heuristic,medium
250,500,256,256,0,35.99,29.43,83.38,191.23,medium,heuristic,medium
100,150,128,256,-10,35.99,29.43,60.0,184.08,medium,heuristic,high
250,500,256,256,0,35.99,29.43,83.24,199.21,medium,heuristic,medium
250,500,256,256,0,35.99,29.43,83.3,205.77,high,heuristic,medium
500,500,256,256,10,36.0,25.47,83.34,126.2,low,heuristic,low
100,150,128,256,-10,36.0,25.47,60.01,209.55,high,heuristic,high
100,150,128,256,-10,36.0,25.47,60.01,167.21,medium,heuristic,high
250,500,256,256,0,36.0,25.47,83.32,164.26,low,heuristic,medium
500,500,256,256,10,33.64,26.06,83.27,136.22,low,heuristic,low
500,500,256,256,10,33.64,26.06,83.28,216.37,high,heuristic,low
250,500,256,256,0,33.64,26.06,83.31,46.93,low,heuristic,medium
100,150,128,256,-10,33.64,26.06,59.91,135.66,low,heuristic,high
250,500,256,256,0,36.01,27.67,83.11,104.68,low,heuristic,medium
250,500,256,256,0,36.01,27.67,83.28,244.58,high,heuristic,medium
100,150,128,256,-10,36.01,27.67,60.03,101.87,low,heuristic,high
100,150,128,256,-10,36.01,27.67,60.0,40.59,low,heuristic,high
100,150,128,256,-10,30.97,27.08,59.97,47.8,low,heuristic,high
500,500,256,256,10,30.97,27.08,83.29,240.67,high,heuristic,low
100,150,128,256,-10,30.97,27.08,60.02,224.35,high,heuristic,high
250,500,256,256,0,30.97,27.08,83.35,176.73,medium,heuristic,medium
100,150,128,256,-10,35.97,31.05,59.86,100.61,low,heuristic,high
500,500,256,256,10,35.97,31.05,83.3,240.66,high,heuristic,low
500,500,256,256,10,35.97,31.05,83.33,240.75,high,heuristic,low
500,500,256,256,10,35.97,31.05,83.39,79.0,low,heuristic,low
250,500,256,256,0,36.0,28.78,83.37,21.49,low,heuristic,medium
500,500,256,256,10,36.0,28.78,83.34,240.73,high,heuristic,low
500,500,256,256,10,36.0,28.78,83.33,240.8,high,heuristic,low
500,500,256,256,10,36.0,28.78,83.33,240.65,high,heuristic,low
250,500,256,256,0,36.03,27.38,83.33,103.98,low,heuristic,medium
250,500,256,256,0,36.03,27.38,83.26,129.09,low,heuristic,medium
250,500,256,256,0,36.03,27.38,83.3,182.23,medium,heuristic,medium
100,150,128,256,-10,36.03,27.38,60.03,217.81,high,heuristic,high
100,150,128,256,-10,38.54,27.83,59.98,256.04,high,heuristic,high
250,500,256,256,0,38.54,27.83,83.25,192.27,medium,heuristic,medium
250,500,256,256,0,38.54,27.83,83.32,173.89,medium,heuristic,medium
250,500,256,256,0,38.54,27.83,83.3,37.72,low,heuristic,medium
250,500,256,256,0,31.07,31.94,83.34,43.6,low,heuristic,medium
100,150,128,256,-10,31.07,31.94,60.05,131.38,low,heuristic,high
100,150,128,256,-10,31.07,31.94,60.04,151.21,low,heuristic,high
500,500,256,256,10,31.07,31.94,83.33,215.68,high,heuristic,low
250,500,256,256,0,38.63,25.95,83.34,37.46,low,heuristic,medium
100,150,128,256,-10,38.63,25.95,59.99,94.16,low,heuristic,high
250,500,256,256,0,38.63,25.95,83.32,177.65,medium,heuristic,medium
250,500,256,256,0,38.63,25.95,83.35,17.21,low,heuristic,medium
500,500,256,256,10,33.58,27.42,83.34,162.07,low,heuristic,low
100,150,128,256,-10,33.58,27.42,60.01,178.45,medium,heuristic,high
500,500,256,256,10,33.58,27.42,83.36,240.92,high,heuristic,low
100,150,128,256,-10,33.58,27.42,59.96,163.73,low,heuristic,high
100,150,128,256,-10,36.07,26.53,60.01,125.3,low,heuristic,high
250,500,256,256,0,36.07,26.53,83.32,60.04,low,heuristic,medium
100,150,128,256,-10,36.07,26.53,60.02,93.2,low,heuristic,high
250,500,256,256,0,36.07,26.53,83.27,151.16,low,heuristic,medium
250,500,256,256,0,38.57,26.05,83.32,100.54,low,heuristic,medium
500,500,256,256,10,38.57,26.05,83.35,215.66,high,heuristic,low
250,500,256,256,0,38.57,26.05,83.33,48.2,low,heuristic,medium
500,500,256,256,10,38.57,26.05,83.32,240.64,high,heuristic,low
250,500,256,256,0,41.07,23.42,83.34,30.66,low,heuristic,medium
250,500,256,256,0,41.07,23.42,83.34,249.18,high,heuristic,medium
250,500,256,256,0,41.07,23.42,83.31,135.65,low,heuristic,medium
250,500,256,256,0,41.07,23.42,83.24,83.04,low,heuristic,medium
250,500,256,256,0,36.14,29.76,83.27,103.71,low,heuristic,medium
100,150,128,256,-10,36.14,29.76,59.96,148.67,low,heuristic,high
250,500,256,256,0,36.14,29.76,83.33,234.56,high,heuristic,medium
100,150,128,256,-10,36.14,29.76,59.99,183.61,medium,heuristic,high
100,150,128,256,-10,33.89,25.44,59.99,203.68,medium,heuristic,high
250,500,256,256,0,33.89,25.44,83.19,256.05,high,heuristic,medium
100,150,128,256,-10,33.89,25.44,60.03,256.04,high,heuristic,high
500,500,256,256,10,33.89,25.44,83.32,215.59,high,heuristic,low
500,500,256,256,10,38.7,28.72,83.32,104.16,low,heuristic,low
500,500,256,256,10,38.7,28.72,83.32,240.66,high,heuristic,low
100,150,128,256,-10,38.7,28.72,60.02,209.13,high,heuristic,high
500,500,256,256,10,38.7,28.72,83.37,240.66,high,heuristic,low
100,150,128,256,-10,31.17,26.03,59.97,86.4,low,heuristic,high
100,150,128,256,-10,31.17,26.03,60.02,185.14,medium,heuristic,high
500,500,256,256,10,31.17,26.03,83.33,240.65,high,heuristic,low
100,150,128,256,-10,31.17,26.03,60.09,174.54,medium,heuristic,high
100,150,128,256,-10,36.43,25.45,59.99,102.82,low,heuristic,high
500,500,256,256,10,36.43,25.45,83.33,85.88,low,heuristic,low
100,150,128,256,-10,36.43,25.45,60.01,53.72,low,heuristic,high
100,150,128,256,-10,36.43,25.45,60.0,28.8,low,heuristic,high
100,150,128,256,-10,36.06,29.04,60.0,255.72,high,heuristic,high
250,500,256,256,0,36.06,29.04,83.31,70.69,low,heuristic,medium
250,500,256,256,0,36.06,29.04,83.2,158.09,low,heuristic,medium
100,150,128,256,-10,36.06,29.04,59.94,150.59,low,heuristic,high
250,500,256,256,0,41.13,29.09,83.33,199.29,medium,heuristic,medium
500,500,256,256,10,41.13,29.09,83.34,215.6,high,heuristic,low
100,150,128,256,-10,41.13,29.09,59.96,205.63,high,heuristic,high
500,500,256,256,10,41.13,29.09,83.33,215.86,high,heuristic,low
250,500,256,256,0,34.73,23.42,83.3,140.98,low,heuristic,medium
250,500,256,256,0,34.73,23.42,83.29,238.45,high,heuristic,medium
500,500,256,256,10,34.73,23.42,83.32,240.61,high,heuristic,low
100,150,128,256,-10,34.73,23.42,60.0,160.38,low,heuristic,high
250,500,256,256,0,32.48,25.23,83.3,111.21,low,heuristic,medium
100,150,128,256,-10,32.48,25.23,60.02,190.98,medium,heuristic,high
250,500,256,256,0,32.48,25.23,83.34,249.53,high,heuristic,medium
100,150,128,256,-10,32.48,25.23,59.98,168.51,medium,heuristic,high
100,150,128,256,-10,41.32,28.4,60.02,186.43,medium,heuristic,high
500,500,256,256,10,41.32,28.4,83.32,215.59,high,heuristic,low
500,500,256,256,10,41.32,28.4,83.37,215.59,high,heuristic,low
500,500,256,256,10,41.32,28.4,83.37,215.59,high,heuristic,low
100,150,128,256,-10,38.61,22.01,59.97,246.5,high,heuristic,high
250,500,256,256,0,38.61,22.01,83.27,100.94,low,heuristic,medium
250,500,256,256,0,38.61,22.01,83.11,256.04,high,heuristic,medium
500,500,256,256,10,38.61,22.01,83.33,215.6,high,heuristic,low
500,500,256,256,10,38.71,29.94,83.29,215.61,high,heuristic,low
100,150,128,256,-10,38.71,29.94,59.96,227.59,high,heuristic,high
500,500,256,256,10,38.71,29.94,83.26,215.61,high,heuristic,low
100,150,128,256,-10,38.71,29.94,60.11,88.11,low,heuristic,high
250,500,256,256,0,43.71,28.74,83.31,229.98,high,heuristic,medium
250,500,256,256,0,43.71,28.74,83.34,100.72,low,heuristic,medium
250,500,256,256,0,43.71,28.74,83.29,120.76,low,heuristic,medium
500,500,256,256,10,43.71,28.74,83.32,215.59,high,heuristic,low
500,500,256,256,10,44.11,27.63,83.31,147.9,low,heuristic,low
500,500,256,256,10,44.11,27.63,83.39,215.71,high,heuristic,low
250,500,256,256,0,44.11,27.63,83.32,242.53,high,heuristic,medium
500,500,256,256,10,44.11,27.63,83.34,215.69,high,heuristic,low
250,500,256,256,0,36.21,26.51,83.35,256.05,high,heuristic,medium
100,150,128,256,-10,36.21,26.51,59.98,237.58,high,heuristic,high
250,500,256,256,0,36.21,26.51,83.29,256.05,high,heuristic,medium
250,500,256,256,0,36.21,26.51,83.35,99.68,low,heuristic,medium
250,500,256,256,0,36.34,25.52,83.31,136.57,low,heuristic,medium
250,500,256,256,0,36.34,25.52,83.29,93.2,low,heuristic,medium
100,150,128,256,-10,36.34,25.52,60.03,240.11,high,heuristic,high
500,500,256,256,10,36.34,25.52,83.34,87.6,low,heuristic,low
250,500,256,256,0,36.08,27.18,83.34,73.45,low,heuristic,medium
100,150,128,256,-10,36.08,27.18,59.95,152.04,low,heuristic,high
500,500,256,256,10,36.08,27.18,83.34,215.6,high,heuristic,low
500,500,256,256,10,36.08,27.18,83.38,215.6,high,heuristic,low
500,500,256,256,10,38.57,29.59,83.35,215.66,high,heuristic,low
500,500,256,256,10,38.57,29.59,83.34,215.61,high,heuristic,low
100,150,128,256,-10,38.57,29.59,59.99,25.32,low,heuristic,high
500,500,256,256,10,38.57,29.59,83.32,215.83,high,heuristic,low
250,500,256,256,0,31.97,21.6,83.31,249.36,high,heuristic,medium
250,500,256,256,0,31.97,21.6,83.32,28.32,low,heuristic,medium
250,500,256,256,0,31.97,21.6,83.28,147.52,low,heuristic,medium
100,150,128,256,-10,31.97,21.6,60.01,159.28,low,heuristic,high
250,500,256,256,0,36.08,28.37,83.32,231.49,high,heuristic,medium
250,500,256,256,0,36.08,28.37,83.35,249.72,high,heuristic,medium
250,500,256,256,0,36.08,28.37,83.27,140.94,low,heuristic,medium
250,500,256,256,0,36.08,28.37,83.35,192.7,medium,heuristic,medium
100,150,128,256,-10,35.95,24.94,60.0,216.16,high,heuristic,high
500,500,256,256,10,35.95,24.94,83.32,240.7,high,heuristic,low
250,500,256,256,0,35.95,24.94,83.27,249.26,high,heuristic,medium
500,500,256,256,10,35.95,24.94,83.33,240.64,high,heuristic,low
100,150,128,256,-10,37.41,29.43,60.05,163.49,low,heuristic,high
500,500,256,256,10,37.41,29.43,83.29,16.76,low,heuristic,low
250,500,256,256,0,37.41,29.43,83.41,213.68,high,heuristic,medium
500,500,256,256,10,37.41,29.43,83.3,41.97,low,heuristic,low
100,150,128,256,-10,38.51,28.66,60.0,114.86,low,heuristic,high
250,500,256,256,0,38.51,28.66,83.34,157.2,low,heuristic,medium
500,500,256,256,10,38.51,28.66,83.32,215.59,high,heuristic,low
500,500,256,256,10,38.51,28.66,83.34,215.61,high,heuristic,low
100,150,128,256,-10,33.47,28.06,60.0,231.07,high,heuristic,high
500,500,256,256,10,33.47,28.06,83.35,215.6,high,heuristic,low
100,150,128,256,-10,33.47,28.06,59.98,223.0,high,heuristic,high
500,500,256,256,10,33.47,28.06,83.34,215.6,high,heuristic,low
500,500,256,256,10,35.96,28.38,83.28,240.62,high,heuristic,low
100,150,128,256,-10,35.96,28.38,60.02,108.91,low,heuristic,high
500,500,256,256,10,35.96,28.38,83.36,240.64,high,heuristic,low
100,150,128,256,-10,35.96,28.38,60.02,159.92,low,heuristic,high
100,150,128,256,-10,35.99,29.43,60.01,162.69,low,heuristic,high
100,150,128,256,-10,35.99,29.43,60.0,145.45,low,heuristic,high
250,500,256,256,0,35.99,29.43,83.33,117.72,low,heuristic,medium
500,500,256,256,10,35.99,29.43,83.32,240.56,high,heuristic,low
500,500,256,256,10,36.0,25.47,83.33,215.59,high,heuristic,low
250,500,256,256,0,36.0,25.47,83.28,200.17,medium,heuristic,medium
500,500,256,256,10,36.0,25.47,83.33,215.94,high,heuristic,low
100,150,128,256,-10,36.0,25.47,59.99,180.57,medium,heuristic,high
100,150,128,256,-10,33.64,26.06,60.0,213.2,high,heuristic,high
100,150,128,256,-10,33.64,26.06,60.0,53.11,low,heuristic,high
500,500,256,256,10,33.64,26.06,83.35,186.52,medium,heuristic,low
100,150,128,256,-10,33.64,26.06,60.0,194.22,medium,heuristic,high
250,500,256,256,0,36.01,27.67,83.35,157.41,low,heuristic,medium
500,500,256,256,10,36.01,27.67,83.36,215.62,high,heuristic,low
100,150,128,256,-10,36.01,27.67,59.98,34.37,low,heuristic,high
500,500,256,256,10,36.01,27.67,83.34,216.17,high,heuristic,low
100,150,128,256,-10,30.97,27.08,59.99,152.63,low,heuristic,high
250,500,256,256,0,30.97,27.08,83.3,256.03,high,heuristic,medium
100,150,128,256,-10,30.97,27.08,59.98,234.71,high,heuristic,high
100,150,128,256,-10,30.97,27.08,59.98,129.66,low,heuristic,high
250,500,256,256,0,35.97,31.05,83.27,66.91,low,heuristic,medium
100,150,128,256,-10,35.97,31.05,60.01,229.19,high,heuristic,high
100,150,128,256,-10,35.97,31.05,59.91,110.81,low,heuristic,high
500,500,256,256,10,35.97,31.05,83.35,240.64,high,heuristic,low
100,150,128,256,-10,36.0,28.78,59.99,78.61,low,heuristic,high
500,500,256,256,10,36.0,28.78,83.27,215.86,high,heuristic,low
100,150,128,256,-10,36.0,28.78,60.0,255.76,high,heuristic,high
100,150,128,256,-10,36.0,28.78,60.0,208.06,high,heuristic,high
250,500,256,256,0,36.03,27.38,83.28,225.3,high,heuristic,medium
100,150,128,256,-10,36.03,27.38,59.99,41.37,low,heuristic,high
250,500,256,256,0,36.03,27.38,83.2,154.45,low,heuristic,medium
100,150,128,256,-10,36.03,27.38,59.97,243.28,high,heuristic,high
250,500,256,256,0,38.54,27.83,83.33,79.86,low,heuristic,medium
500,500,256,256,10,38.54,27.83,83.3,216.36,high,heuristic,low
100,150,128,256,-10,38.54,27.83,60.02,166.96,medium,heuristic,high
500,500,256,256,10,38.54,27.83,83.33,215.61,high,heuristic,low
100,150,128,256,-10,30.88,23.55,60.01,102.4,low,heuristic,high
100,150,128,256,-10,30.88,23.55,59.99,256.03,high,heuristic,high
500,500,256,256,10,30.88,23.55,83.42,240.64,high,heuristic,low
100,150,128,256,-10,30.88,23.55,59.99,191.05,medium,heuristic,high
250,500,256,256,0,38.63,25.95,83.35,160.9,low,heuristic,medium
500,500,256,256,10,38.63,25.95,83.35,240.7,high,heuristic,low
250,500,256,256,0,38.63,25.95,83.32,142.7,low,heuristic,medium
100,150,128,256,-10,38.63,25.95,59.99,117.24,low,heuristic,high
250,500,256,256,0,33.58,27.42,82.98,108.67,low,heuristic,medium
100,150,128,256,-10,33.58,27.42,59.97,99.23,low,heuristic,high
100,150,128,256,-10,33.58,27.42,60.03,248.57,high,heuristic,high
500,500,256,256,10,33.58,27.42,83.31,240.77,high,heuristic,low
